Pair ID,Schedule Type,Order Number,Scene Number,Actors,Equipment,Location,Duration
2,Schedule Plan 1,1,Scene 1,"Laura Neumann, Peter Schmidt","Camera D, Microphone X",München Marienplatz,2h
2,Schedule Plan 1,2,Scene 2,"Peter Schmidt, Marco Weber, Laura Neumann","Microphone X, Camera E",Olympiapark München,1h
2,Schedule Plan 1,3,Scene 3,"Marco Weber, Julia Stein","Gimbal F, Camera E",Englischer Garten,3h
2,Schedule Plan 2,1,Scene 1,"Laura Neumann, Peter Schmidt","Camera D, Microphone X",München Marienplatz,2h
2,Schedule Plan 2,2,Scene 3,"Marco Weber, Julia Stein","Gimbal F, Camera E",Englischer Garten,3h
2,Schedule Plan 2,3,Scene 2,"Peter Schmidt, Marco Weber, Laura Neumann","Microphone X, Camera E",Olympiapark München,1h
3,Schedule Plan 1,1,Scene 1,"Anna Meier, Max Müller","Camera A, Boom Mic B",Berlin Alexanderplatz,2h
3,Schedule Plan 1,2,Scene 2,"Max Müller, Julia Fischer","Camera A, Microphone C",Potsdamer Platz,1h
3,Schedule Plan 1,3,Scene 3,"Julia Fischer, Tim Bauer","Microphone C, Drone D",Brandenburger Tor,3h
3,Schedule Plan 2,1,Scene 1,"Anna Meier, Max Müller","Camera A, Boom Mic B",Berlin Alexanderplatz,2h
3,Schedule Plan 2,2,Scene 3,"Julia Fischer, Tim Bauer","Microphone C, Drone D",Brandenburger Tor,3h
3,Schedule Plan 2,3,Scene 2,"Max Müller, Julia Fischer","Camera A, Microphone C",Potsdamer Platz,1h
4,Schedule Plan 1,1,Scene 1,"Sophie Klein, Ben Neumann","Camera E, Lighting F",Hamburg Hafen,2h
4,Schedule Plan 1,2,Scene 2,"Ben Neumann, Sarah Wolf","Camera E, Microphone G",Reeperbahn,1h
4,Schedule Plan 1,3,Scene 3,"Sarah Wolf, Paul Weber","Microphone G, Drone H",Speicherstadt,3h
4,Schedule Plan 2,1,Scene 1,"Sophie Klein, Ben Neumann","Camera E, Lighting F",Hamburg Hafen,2h
4,Schedule Plan 2,2,Scene 3,"Sarah Wolf, Paul Weber","Microphone G, Drone H",Speicherstadt,3h
4,Schedule Plan 2,3,Scene 2,"Ben Neumann, Sarah Wolf","Camera E, Microphone G",Reeperbahn,1h
5,Schedule Plan 1,1,Scene 1,"Clara Wagner, Tom Schmitt","Camera I, Boom Mic J",München Marienplatz,3h
5,Schedule Plan 1,2,Scene 2,"Tom Schmitt, Lisa Braun","Camera I, Gimbal K",Olympiapark München,1h
5,Schedule Plan 1,3,Scene 3,"Lisa Braun, Mark Richter","Gimbal K, Drone L",Englischer Garten,2h
5,Schedule Plan 2,1,Scene 1,"Clara Wagner, Tom Schmitt","Camera I, Boom Mic J",München Marienplatz,3h
5,Schedule Plan 2,2,Scene 3,"Lisa Braun, Mark Richter","Gimbal K, Drone L",Englischer Garten,2h
5,Schedule Plan 2,3,Scene 2,"Tom Schmitt, Lisa Braun","Camera I, Gimbal K",Olympiapark München,1h
6,Schedule Plan 1,1,Scene 1,"Nina Hoffmann, Alex Meier","Camera M, Tripod N",Frankfurt Römer,2h
6,Schedule Plan 1,2,Scene 2,"Alex Meier, Eva Schulz","Camera M, Microphone O, Tripod N",Zeil Frankfurt,1h
6,Schedule Plan 1,3,Scene 3,"Eva Schulz, Chris Weber","Microphone O, Drone P",Palmengarten,3h
6,Schedule Plan 2,1,Scene 1,"Nina Hoffmann, Alex Meier","Camera M, Tripod N",Frankfurt Römer,2h
6,Schedule Plan 2,2,Scene 3,"Eva Schulz, Chris Weber","Microphone O, Drone P",Palmengarten,3h
6,Schedule Plan 2,3,Scene 2,"Alex Meier, Eva Schulz","Camera M, Microphone O, Tripod N",Zeil Frankfurt,1h
7,Schedule Plan 1,1,Scene 1,"Leon Berger, Mia Klein","Camera Q, Drone R",Kölner Dom,3h
7,Schedule Plan 1,2,Scene 2,"Mia Klein, Felix Braun","Camera Q, Gimbal S",Rheinufer,1h
7,Schedule Plan 1,3,Scene 3,"Felix Braun, Laura Weber","Gimbal S, Microphone T",Kölner Zoo,2h
7,Schedule Plan 2,1,Scene 1,"Leon Berger, Mia Klein","Camera Q, Drone R",Kölner Dom,3h
7,Schedule Plan 2,2,Scene 3,"Felix Braun, Laura Weber","Gimbal S, Microphone T",Kölner Zoo,2h
7,Schedule Plan 2,3,Scene 2,"Mia Klein, Felix Braun","Camera Q, Gimbal S",Rheinufer,1h
8,Schedule Plan 1,1,Scene 1,"Anna Fischer, Tom Becker","Camera U, Microphone V",Stuttgart Schlossplatz,2h
8,Schedule Plan 1,2,Scene 2,"Tom Becker, Lisa Meier","Camera U, Drone W",Wilhelma,1h
8,Schedule Plan 1,3,Scene 3,"Lisa Meier, Max Hoffmann","Drone W, Gimbal X",Königstraße,3h
8,Schedule Plan 2,1,Scene 1,"Anna Fischer, Tom Becker","Camera U, Microphone V",Stuttgart Schlossplatz,2h
8,Schedule Plan 2,2,Scene 3,"Lisa Meier, Max Hoffmann","Drone W, Gimbal X",Königstraße,3h
8,Schedule Plan 2,3,Scene 2,"Tom Becker, Lisa Meier","Camera U, Drone W",Wilhelma,1h
